course_anonid,lecturer_anonid,lecture_id,discipline,year,month,day,slot,coder,time,code,duration,lecture_date,session_number,lecturer_and_session,title,simple_title,code_grp,duration_int
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,1950,LQ,10,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,1960,SR,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,1962,LT,11,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,1973,LQ,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,1975,SR,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,1977,LR,8,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,1985,LT,31,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2016,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2017,LT,39,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2056,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2057,LT,21,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2078,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2079,LT,55,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2134,LQ,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2136,SR,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2138,LR,3,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2141,LQ,6,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2147,LT,12,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2159,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2160,LT,16,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2176,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2177,LT,13,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2190,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2191,LT,3,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2194,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2195,LT,5,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2200,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2201,LT,15,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2216,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2217,LT,7,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2224,SR,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2226,LT,14,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2240,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2241,LT,20,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2261,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2262,LT,22,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2284,LQ,3,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2287,LT,22,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2309,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2310,LT,25,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2335,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2336,LT,23,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2359,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2360,LT,13,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2373,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2374,LT,27,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2401,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2402,LT,9,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2411,LQ,7,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2418,SR,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2420,LR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2421,LT,3,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2424,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2425,LT,13,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2438,LQ,4,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
